Key,en,es,ar,hi,fr
Send Test Mail,Send Test Mail,Enviar correo de prueba,إرسال بريد الاختبار,परीक्षण मेल भेजें,Envoyer un courrier test
Global Setting for,Global Setting for,Escenario global para,الإعداد العالمي ل,के लिए वैश्विक सेटिंग,Paramètre global pour
Total Supported Currency,Total Supported Currency,Moneda total compatible,إجمالي العملة المدعومة,कुल समर्थित मुद्रा,Devise totale prise en charge
Pending Tickets,Pending Tickets,Boletos pendientes,تذاكر معلقة,लंबित टिकट,Billets en attente
View All,View All,Ver todo,عرض الكل,सभी को देखें,Tout afficher
All Tickets,All Tickets,Todas las entradas,جميع التذاكر,सभी टिकट,Tous les billets
Children,Children,Niños,أطفال,बच्चे,Enfants
Nanny's Charge,Nanny's Charge,La carga de la niñera,تهمة مربية,नानी का आरोप,Charge de nounou
app Version,1,1,1,1,1
wait For Approval Subtitle,Your identity has been successfully submitted to admin. Wait for admin approval.,Su identidad ha sido presentada con éxito al administrador. Espere la aprobación del administrador.,تم تقديم هويتك بنجاح إلى المسؤول. انتظر موافقة المسؤول.,आपकी पहचान सफलतापूर्वक व्यवस्थापक को सबमिट कर दी गई है. व्यवस्थापक अनुमोदन की प्रतीक्षा करें.,Votre identité a été soumise avec succès à l'administrateur. Attendez l'approbation de l'administrateur.
please Fill Out The Field,Please Fill Out The Field,Por favor complete el campo,يرجى ملء الحقل,कृपया फ़ील्ड भरें,Veuillez remplir le champ
eggs,Eggs,Huevos,بيض,अंडे,Œufs
kg,Kg,Kg,كلغ,किग्रा,Kilogrammes
success Payment,Payment Successful,Pago exitoso,الدفع ناجح,भुगतान सफल,Paiement réussi
paypal,Paypal,Paypal,PayPal,Paypal,Paypal
service Area,Service Area,Vía de Servício,منطقة الخدمة,सेवा क्षेत्र,Aire de service
ex Pet Type,Ex: Dog,Ej: perro,على سبيل المثال: كلب,उदाहरणार्थ: कुत्ता,Ex : chien
ex Pet Breed,Ex: Bulldog,Ej: bulldog,على سبيل المثال: البلدغ,उदाहरणार्थ: बुलडॉग,Ex : Bouledogue
bulldog,Bulldog,Buldog,البلدغ,एक प्रकार का कुत्त,Bouledogue
ex Gender,Ex: Male,Ej: hombre,على سبيل المثال: ذكر,जैसे: पुरुष,Ex : Homme
ex Pet,Ex: Bully,Ej: Bully,على سبيل المثال: الفتوة,उदाहरणार्थ: धमकाने वाला,Ex : intimidateur
ex Pet Age,Ex: 2 Years,Ej.: 2 años,على سبيل المثال: 2 سنوات,उदाहरण: 2 वर्ष,Ex : 2 ans
ex Pet Food,"Ex: Beef, Eggs","Ej: carne de res, huevos",على سبيل المثال: لحوم البقر ، البيض,"उदाहरणार्थ: गोमांस, अंडे","Ex : Boeuf, Oeufs"
ex Pet Weight,Ex: 4 Kg,Ej: 4 kg,على سبيل المثال: 4 كجم,उदाहरण: 4 किग्रा,Ex : 4Kg
ex Age,Years,Años,سنين,साल,Années
ex Name,Ex: John Doe,Ej: John Doe,على سبيل المثال: جون دو,उदाहरण: जॉन डो,Ex : John Doe
credit Card Sample Text,Credit Card Sample Text,Texto de muestra de tarjeta de crédito,نص عينة بطاقة الائتمان,क्रेडिट कार्ड नमूना पाठ,Exemple de texte de carte de crédit
no,No,No,لا,नहीं,Non
warning Date,Please select both dates,Seleccione ambas fechas,الرجاء تحديد كلا التواريخ,कृपया दोनों तिथियां चुनें,Veuillez sélectionner les deux dates
no Review,No review found!,¡No se encontró ninguna revisión!,لم يتم العثور على مراجعة!,कोई समीक्षा नहीं मिली!,Aucun avis trouvé !
update Baby,Update Baby,Actualizar bebé,تحديث الطفل,अपडेट बेबी,Mettre à jour bébé
enter Pet Name,Enter Pet Name,Ingrese el nombre de la mascota,أدخل اسم الحيوانات الأليفة,पालतू जानवर का नाम दर्ज करें,Entrez le nom de l'animal
no Data Found,No Data Found!,¡Datos no encontrados!,لاتوجد بيانات!,डाटा प्राप्त नहीं हुआ!,Aucune donnée trouvée !
two Fa Verification,2FA Verification,Verificación de 2FA,2FA التحقق,2एफए सत्यापन,Vérification 2FA
two Fa Enabled,Two FA Enabled,Dos FA habilitado,اثنين من FA تمكين,दो एफए सक्षम,Deux FA activés
two Fa Disabled,Two FA Disabled,Dos FA discapacitados,اثنان معاقين FA,दो एफए विकलांग,Deux FA désactivées
enter The Two Fa Verification,Enter the two fa verification,Ingrese las dos verificación FA,أدخل التحقق من FA,दो एफए सत्यापन दर्ज करें,Entrez la vérification à deux fa
pet,Pet,Mascota,حيوان أليف,पालतू,Animal de compagnie
verification Code,Verification Code,Código de verificación,رمز التحقق,सत्यापन कोड,Le code de vérification
disabled,Disabled,Desactivado,عاجز,अक्षम,Désactivé
valid Thru,Valid Through,Válido hasta el,صالحة من خلال,वाजिब सोच,Valable jusqu'au
card Holder,Card holder,Titular de la tarjeta,حامل البطاقة,कार्ड धारक,Titulaire de la carte
use Your Card To Make Payments,Use your card to make payments,Usa tu tarjeta para hacer pagos,استخدم بطاقتك لإجراء المدفوعات,भुगतान करने के लिए अपने कार्ड का उपयोग करें,Utilisez votre carte pour effectuer des paiements
age,Age,Edad,عمر,आयु,Âge
day,Day,Día,يوم,दिन,Jour
card Added Successfully,Card Added Successfully,Tarjeta agregada con éxito,تمت إضافة البطاقة بنجاح,कार्ड सफलतापूर्वक जोड़ा गया,Carte ajoutée avec succès
yes,Yes,Sí,نعم,हाँ,Oui
successfully Deleted,Successfully Deleted,Eliminado con éxito,تم الحذف بنجاح,सफलतापूर्वक हटा दिया गया,Supprimé avec succès
delete Log Message,Do You Want To Delete?,¿Quieres borrar?,هل تريد أن تحذف؟,क्या आप हटाना चाहते हैं?,Voulez-vous supprimer ?
log Message Demo,Are you sure you want to delete?,¿Estas seguro que quieres borrarlo?,هل أنت متأكد أنك تريد حذف؟,क्या आप आश्वस्त है कि आपको डिलीट करना है?,Êtes-vous sûr de vouloir supprimer ?
log Message One,Do you want to cancel service?,¿Quieres cancelar el servicio?,هل تريد إلغاء الخدمة؟,क्या आप सेवा रद्द करना चाहते हैं?,Voulez-vous annuler le service?
upload Image,Please upload an image,Sube una imagen,يرجى تحميل صورة,कृपया एक छवि अपलोड करें,Veuillez télécharger une image
successful Msg,Successfully updated,Actualizado exitosamente,تم التحديث بنجاح,सफलतापूर्वक अद्यतन किया गया,Mise à jour réussie
terms Check,Please check terms and condition,Verifique los términos y la condición,يرجى التحقق من الشروط والشرط,कृपया नियम और शर्तें जांचें,Veuillez vérifier les termes et conditions
give Password,Please give a password,"Por favor, dé una contraseña",يرجى إعطاء كلمة مرور,कृपया एक पासवर्ड दें,Merci de donner un mot de passe
give User Name Or Email,Please give a user Name Or email,Dé un nombre de usuario o correo electrónico,يرجى إعطاء اسم مستخدم أو بريد إلكتروني,कृपया उपयोगकर्ता नाम या ईमेल दें,Veuillez donner un nom d'utilisateur ou une adresse e-mail
tab Start,Tab a star to set your rating. Add more description here if you want,Tabrá una estrella para establecer su calificación. Agrega más descripción aquí si quieres,علامة التبويب نجم لتعيين تصنيفك. أضف المزيد من الوصف هنا إذا كنت تريد,अपनी रेटिंग सेट करने के लिए एक स्टार टैब करें। यदि आप चाहें तो यहां और विवरण जोड़ें,Appuyez sur une étoile pour définir votre note. Ajoutez plus de description ici si vous le souhaitez
service Experience,Write here about service experience,Escriba aquí sobre experiencia en servicio,اكتب هنا عن تجربة الخدمة,सेवा अनुभव के बारे में यहां लिखें,Écrivez ici sur l'expérience de service
did Not Get Code,Did not get any code,No obtuvo ningún código,لم يحصل على أي رمز,कोई कोड नहीं मिला,Je n'ai reçu aucun code
setup Location,Setup Location,Ubicación de configuración,موقع الإعداد,सेटअप स्थान,Emplacement d'installation
get Payment,Get Payment,Obtener el pago,احصل على الدفع,भुगतान प्राप्त करें,Obtenir le paiement
set Location,Set Location,Escoger localización,تحديد المكان,स्थान निर्धारित करें,Définir l'emplacement
welcome,Welcome,Bienvenido,مرحباً,स्वागत,Accueillir
id Type,ID Type,tipo de identificación,نوع الهوية,आईडी प्रकार,Type d'identification
privacy Text One,I have read agreed with the,He leído acordado con el,لقد قرأت اتفق مع,मैंने इससे सहमत होकर पढ़ा है,J'ai lu d'accord avec le
back,Back,Atrás,خلف,पीछे,Dos
please Select A Baby Or Pet,Please select a baby or pet,Seleccione un bebé o una mascota,الرجاء تحديد طفل أو حيوان أليف,कृपया एक शिशु या पालतू जानवर चुनें,Veuillez sélectionner un bébé ou un animal de compagnie
successfully Canceled,Successfully Canceled,Cancelado con éxito,تم إلغاؤه بنجاح,सफलतापूर्वक रद्द किया गया,Annulé avec succès
wait For,"""Wait for approval","""Espera por aprovacion","""الانتظار للموافقة عليها","""अनुमोदन के लिए प्रतीक्षा करें","""Attendez l'approbation"
address Congratulation Des,"Your information has been saved successfully, Thanks for using Nanny","Su información se ha guardado con éxito, gracias por usar Nanny",تم حفظ معلوماتك بنجاح ، شكرًا على استخدام المربية,"आपकी जानकारी सफलतापूर्वक सहेज ली गई है, नानी का उपयोग करने के लिए धन्यवाद","Vos informations ont été enregistrées avec succès, merci d'utiliser Nanny"
resubmit Text,Resubmit id card through capturing,Vuelva a enviar tarjeta de identificación a través de la captura,إعادة تقديم بطاقة الهوية من خلال التقاط,कैप्चरिंग के माध्यम से आईडी कार्ड पुनः सबमिट करें,Soumettre à nouveau la carte d'identité via la capture
sign In Congratulation Des,"Your password has been reset successfully, Sign in now again.","Su contraseña se ha restablecido correctamente, inicie sesión ahora nuevamente.",تمت إعادة تعيين كلمة المرور الخاصة بك بنجاح ، وقم بتسجيل الدخول الآن مرة أخرى.,"आपका पासवर्ड सफलतापूर्वक रीसेट हो गया है, अब फिर से साइन इन करें।","Votre mot de passe a été réinitialisé avec succès, connectez-vous à nouveau maintenant."
baby Sitter Congratulation Des,"Your service request has been sent successfully, Thanks to use Nanny","Su solicitud de servicio se ha enviado con éxito, gracias a usar niñera",تم إرسال طلب الخدمة الخاص بك بنجاح ، بفضل استخدام المربية,"आपका सेवा अनुरोध सफलतापूर्वक भेज दिया गया है, नानी का उपयोग करने के लिए धन्यवाद","Votre demande de service a été envoyée avec succès, Merci d'utiliser Nanny"
get Started,Get Started,Empezar,البدء,शुरू हो जाओ,Commencer
enter The Otp Code Send To,Enter The OTP Code Sent to,Ingrese el código OTP enviado a,أدخل رمز OTP المرسلة إلى,भेजे गए ओटीपी कोड को दर्ज करें,Entrez le code OTP envoyé à
otp Verification,OTP Verification,Verificación OTP,التحقق من OTP,ओटीपी सत्यापन,Vérification OTP
email Verification,Email Verification,verificacion de email,تأكيد بواسطة البريد الالكتروني,ईमेल सत्यापन,Vérification par e-mail
resend,Resend,Reenviar,إعادة إرسال,पुन: भेजें,Renvoyer
enter,Enter,Ingresar,يدخل,प्रवेश करना,Entrer
enter Age,Enter Age,Entrar en edad,دخول العمر,आयु दर्ज करें,Entrez l'âge
update Pet,Update Pet,Actualizar mascota,تحديث الحيوانات الأليفة,अद्यतन पालतू,Mettre à jour l'animal de compagnie
congratulation,Congratulations,Felicidades,تهانينا,बधाई हो,Félicitations
create Account,Create Account,Crear una cuenta,إنشاء حساب,खाता बनाएं,Créer un compte
okay,Okay,Bueno,تمام,ठीक है,D'accord
transfer,TRANSFER,TRANSFERIR,تحويل,स्थानांतरण,TRANSFERT
exchange,Exchange,Intercambio,تبادل,अदला-बदली,Échange
request,Request,Pedido,طلب,अनुरोध,Demande
recent Transaction,Recent Transaction,Transacción reciente,المعاملة الأخيرة,हालिया लेनदेन,Transaction récente
my Invoice,My Invoice,Mi factura,فاتورتي,मेरा चालान,Ma facture
my Voucher,My Voucher,Mi cupón,قسيمي,मेरा वाउचर,Mon bon
sign Out,Sign Out,Desconectar,خروج,साइन आउट,Se déconnecter
preview Screen,Preview Screen,Pantalla previa,شاشة المعاينة,पूर्वावलोकन स्क्रीन,Écran d'aperçu
total Payable Ammount,Total Payable Ammount,Ammount total por pagar,إجمالي Ammount المستحق,कुल देय राशि,Montant total à payer
money Exchange,Money Exchange,Cambio de dinero,حوالة نقدية,मुद्रा विनिमय,Échange d'argent
from,From,De,من,से,Depuis
to,To,A,ل,को,À
request Money,Request Money,Pedir dinero,طلب المال,पैसे का अनुरोध,Demander de l'argent
remarks,Remarks,Observaciones,ملاحظات,टिप्पणी,Remarques
optional,Optional,Opcional,خياري,वैकल्पिक,Facultatif
share Request Money,Share Request Money,Solicitar dinero para compartir dinero,مشاركة طلب المال,शेयर अनुरोध धन,Partager Demander de l'argent
share,Share,Compartir,يشارك,शेयर करना,Partager
money Transfer,Money Transfer,Transferencia de dinero,تحويل المال,मनी ट्रांसफर,Transfert d'argent
receiver,Receiver,Receptor,المتلقي,रिसीवर,Récepteur
mobile Number,Mobile Number,Número de teléfono móvil,رقم الهاتف المحمول,मोबाइल नंबर,Numéro de portable
address Not Found,Address not found!,¡Dirección no encontrada!,لم يتم العثور على العنوان!,पता नहीं पाया गया!,Adresse introuvable !
successfully Updated Password,Password successfully updated,Contraseña actualizada correctamente,تم تحديث كلمة المرور بنجاح,पासवर्ड सफलतापूर्वक अपडेट किया गया,Mot de passe mis à jour avec succès
sent,Sent,Enviado,مرسل,भेजा,Envoyé
un Paid,UnPaid,No pagado,غير مدفوع الأجر,अवैतनिक,Non rémunéré
invoice Number,Invoice Number,Número de factura,رقم الفاتورة,चालान संख्या,Numéro de facture
invoice Date,Invoice Date,Fecha de la factura,تاريخ الفاتورة,चालान की तारीख,Date de facture
pick Goods,Pick Goods,Seleccionar artículos,اختر البضائع,सामान उठाओ,Choisir des marchandises
trick Goods,Trick Goods,Artículos de truco,خدعة البضائع,चाल माल,Marchandises trompeuses
total Bill,Total Bill,Cuenta total,إجمالي الفاتورة,कुल बिल,Facture totale
create Invoice,Create Invoice,Crear factura,إنشاء فاتورة,चालान बनाएं,Créer une facture
invoice To,Invoice To,Factura,فاتورة إلى,बीजक बनाना,Facturer à
billing Address,Billing Address,Dirección de Envio,عنوان وصول الفواتير,बिलिंग पता,adresse de facturation
notes,Notes,Notas,ملحوظات,टिप्पणियाँ,Remarques
item Details,Item Details,detalles del artículo,تفاصيل العنصر,आइटम विवरण,Détails de l'article
item Name,Item Name,Nombre del árticulo,اسم العنصر,आइटम नाम,Nom de l'article
voucher,Voucher,Vale,فاتورة,वाउचर,Bon
redeem,Redeem,Canjear,يسترد,भुनाना,Racheter
not Used,Not Used,No utilizado,غير مستعمل,उपयोग नहीं किया,Non utilisé
create Voucher,Create Voucher,Crear cupón,إنشاء قسيمة,वाउचर बनाएं,Créer un bon
confirm Redeem,Confirm Redeem,Confirmar redimir,تأكيد الاسترداد,रिडीम की पुष्टि करें,Confirmer l'échange
redeem Code,Redeem Code,Canjear código,استرداد رمز,रीडीम कोड,Utiliser le code
exchange Log,Exchange Log,Registro de intercambio,سجل التبادل,एक्सचेंज लॉग,Journal d'échange
request Log,Request Log,Registro de solicitud,طلب سجل,लॉग का अनुरोध करें,Journal des demandes
back To Home,Back To Home,De vuelta a casa,العودة إلى المنزل,घर वापिस जा रहा हूँ,Retour à la maison
enable 2fa Security,Enable 2FA Security,Habilitar la seguridad de 2FA,تمكين 2FA الأمن,2एफए सुरक्षा सक्षम करें,Activer la sécurité 2FA
send Verification Code,Send Verification Code,Envíe el código de verificación,إرسال رمز التحقق,सत्यापन कोड भेजें,Envoyer le code de vérification
old Password,Old Password,Contraseña anterior,كلمة المرور القديمة,पुराना पासवर्ड,Ancien mot de passe
individual,Individual,Individual,فردي,व्यक्ति,Individuel
business,Business,Negocio,عمل,व्यापार,Entreprise
middle Name,Middle Name,Segundo nombre,الاسم الأوسط,मध्य नाम,Deuxième prénom
company Name,Company Name,nombre de empresa,اسم الشركة,कंपनी का नाम,Nom de l'entreprise
date Of Birth,Date of Birth,Fecha de nacimiento,تاريخ الميلاد,जन्मतिथि,Date de naissance
nationality,Nationality,Nacionalidad,جنسية,राष्ट्रीयता,Nationalité
my Receipt,My Receipt,Mi recibo,إيصالي,मेरी रसीद,Mon reçu
total Exchanged Amount,Total Exchanged Amount,Cantidad total intercambiada,إجمالي المبلغ المتبادل,कुल विनिमय राशि,Montant total échangé
converted Amount,Converted Amount,Cantidad convertida,المبلغ المحول,परिवर्तित राशि,Montant converti
requested Amount,Requested Amount,Monto requerido,الكمية المطلوبة,अनुरोध राशि,Montant demandé
onboard Title One,Fun and Play All Day,Diversión y juega todo el día,المرح واللعب طوال اليوم,पूरे दिन मौज-मस्ती और खेल-कूद,Amusez-vous et jouez toute la journée
onboard Title Two,We Care Just Like You Do,Nos importa como tú,نحن نهتم مثلك تمامًا,हम आपकी तरह ही परवाह करते हैं,Nous nous soucions comme vous
onboard Description One,A nanny is always ready to take care of your child with her best efforts,Una niñera siempre está lista para cuidar a su hijo con sus mejores esfuerzos,المربية هي دائمًا على استعداد لرعاية طفلك بذل قصارى جهدها,एक नानी अपने सर्वोत्तम प्रयासों से आपके बच्चे की देखभाल करने के लिए हमेशा तैयार रहती है,Une nounou est toujours prête à prendre soin de votre enfant avec tous ses efforts
onboard Description Two,A nanny is always ready to take care of your pet with her best efforts,Una niñera siempre está lista para cuidar a su mascota con sus mejores esfuerzos,المربية هي دائما على استعداد لرعاية حيوانك الأليف بذل قصارى جهدها,एक आया अपने सर्वोत्तम प्रयासों से आपके पालतू जानवर की देखभाल करने के लिए हमेशा तैयार रहती है,Une nounou est toujours prête à prendre soin de votre animal avec tous ses efforts
email Verification Des,"Enter the otp code, which we have sent to the email you entered","Ingrese el código OTP, que hemos enviado al correo electrónico que ingresó",أدخل رمز OTP ، الذي أرسلناه إلى البريد الإلكتروني الذي أدخلته,"वह ओटीपी कोड दर्ज करें, जो हमने आपके द्वारा दर्ज किए गए ईमेल पर भेजा है",Entrez le code OTP que nous avons envoyé à l'e-mail que vous avez saisi
cancel,Cancel,Cancelar,يلغي,रद्द करना,Annuler
otp Verification Des,"Enter the otp code, which we have sent to your registered email","Ingrese el código OTP, que hemos enviado a su correo electrónico registrado",أدخل رمز OTP ، الذي أرسلناه إلى بريدك الإلكتروني المسجل,"ओटीपी कोड दर्ज करें, जो हमने आपके पंजीकृत ईमेल पर भेजा है",Entrez le code OTP que nous avons envoyé à votre adresse e-mail enregistrée
congratulation Des,"Your account has been create successfully, Welcome to Nanny","Su cuenta ha sido creada con éxito, bienvenido a la niñera",تم إنشاء حسابك بنجاح ، مرحبًا بك في مربية,"आपका खाता सफलतापूर्वक बन गया है, नानी में आपका स्वागत है","Votre compte a été créé avec succès, Bienvenue chez Nanny"
congratulation Sign In Des,"Your password has been reset successfully, Sign in now again","Su contraseña se ha restablecido correctamente, inicie sesión ahora nuevamente",تمت إعادة تعيين كلمة المرور الخاصة بك بنجاح ، وقم بتسجيل الدخول الآن مرة أخرى,"आपका पासवर्ड सफलतापूर्वक रीसेट हो गया है, अब फिर से साइन इन करें","Votre mot de passe a été réinitialisé avec succès, connectez-vous à nouveau maintenant"
forgot Password Des,Enter your registered email to reset your password,Ingrese su correo electrónico registrado para restablecer su contraseña,أدخل بريدك الإلكتروني المسجل لإعادة تعيين كلمة المرور الخاصة بك,अपना पासवर्ड रीसेट करने के लिए अपना पंजीकृत ईमेल दर्ज करें,Entrez votre email enregistré pour réinitialiser votre mot de passe
sign Up Des,"Your account has been create successfully, Welcome to Nanny.","Su cuenta ha sido creada con éxito, bienvenido a Nanny.",تم إنشاء حسابك بنجاح ، مرحبًا بك في مربية.,"आपका खाता सफलतापूर्वक बन गया है, नानी में आपका स्वागत है।","Votre compte a été créé avec succès, bienvenue chez Nanny."
sign Up Welcome Text,Create an account to get the cheapest and best quality seating services from us,Cree una cuenta para obtener los servicios de asientos más baratos y de mejor calidad de nosotros,قم بإنشاء حساب للحصول على أرخص وأفضل خدمات الجلوس منا,हमसे सबसे सस्ती और सर्वोत्तम गुणवत्ता वाली बैठने की सेवाएँ प्राप्त करने के लिए एक खाता बनाएँ,Créez un compte pour obtenir de notre part les services de sièges les moins chers et de la meilleure qualité
account,Account,Cuenta,حساب,खाता,Compte
agreement Text,"I have read agreed with the Terms Of Use, Privacy Policy & Warning","He leído acordado con los Términos de uso, Política de privacidad y advertencia",لقد قرأت الاتفاق على شروط الاستخدام وسياسة الخصوصية والتحذير,"मैंने उपयोग की शर्तों, गोपनीयता नीति और चेतावनी से सहमति पढ़ी है","J'ai lu et j'accepte les conditions d'utilisation, la politique de confidentialité et l'avertissement"
sign In Welcome Text,Sign in to your account with registered email and password,Inicie sesión en su cuenta con correo electrónico y contraseña registrados,قم بتسجيل الدخول إلى حسابك عبر البريد الإلكتروني المسجل وكلمة المرور,पंजीकृत ईमेल और पासवर्ड से अपने खाते में साइन इन करें,Connectez-vous à votre compte avec l'e-mail et le mot de passe enregistrés
guest User,Continue as a Guest User,Continuar como usuario invitado,تابع كمستخدم ضيف,अतिथि उपयोगकर्ता के रूप में जारी रखें,Continuer en tant qu'utilisateur invité
have Not Account,Doesn't have account?,¿No tiene cuenta?,ليس لديه حساب؟,खाता नहीं है?,Vous n'avez pas de compte ?
i Need A,I NEED A,NECESITO UN,أحتاج,मुझे एक चाहिए,J'AI BESOIN D'UN
recapture Msg,Resubmit id card through capturing.,Vuelva a enviar la tarjeta de identificación a través de la captura.,إعادة إرسال بطاقة الهوية من خلال التقاط.,कैप्चरिंग के माध्यम से आईडी कार्ड पुनः सबमिट करें।,Soumettez à nouveau la carte d'identité via la capture.
wait For Approval,Waiting for approval,A la espera de la aprobación,بانتظار الموافقة,अनुमोदन के लिए प्रतीक्षा,En attente d'approbation
booking Schedule,Booking Schedule,Horario de reserva,جدول الحجز,बुकिंग अनुसूची,Calendrier de réservation
select Date,Select a date,Seleccione una fecha,حدد تاريخ,एक तारीख चुनें,Sélectionnez une date
monthly Booking,Monthly Booking,Reserva mensual,الحجز الشهري,मासिक बुकिंग,Réservation mensuelle
save,Save,Ahorrar,يحفظ,बचाना,Sauvegarder
booking Schedule Text,Monthly booking will be for 30 days from the date you select.,La reserva mensual será durante 30 días a partir de la fecha en que seleccione.,سيكون الحجز الشهري لمدة 30 يومًا من تاريخ اختيار.,मासिक बुकिंग आपके द्वारा चुनी गई तारीख से 30 दिनों के लिए होगी।,La réservation mensuelle sera de 30 jours à compter de la date que vous sélectionnez.
booking Schedule Text Two,"For bookings, more than 20 days please","Para reservas, más de 20 días por favor",للحجوزات ، أكثر من 20 يومًا من فضلك,कृपया 20 दिन से अधिक की बुकिंग के लिए,"Pour les réservations, plus de 20 jours merci"
choose Your Location,Choose Your Location,Elija su ubicación,اختر موقعك,अपना स्थान चुनें,Choisissez votre emplacement
search Here,Search Here...,Busca aquí...,ابحث هنا...,यहां तलाश करो...,Rechercher ici...
current Location,Current Location,Ubicación actual,الموقع الحالي,वर्तमान स्थान,Emplacement actuel
set On Map,Set On Map,Establecer en el mapa,تعيين على الخريطة,मानचित्र पर सेट करें,Définir sur la carte
saved Address,Saved Address,Dirección guardada,العنوان المحفوظ,सहेजा गया पता,Adresse enregistrée
add Address,Add Address,Añadir dirección,اضف عنوان,पता जोड़ें,Ajouter une adresse
office,Office,Oficina,مكتب,कार्यालय,Bureau
add Home,Add Home,Agregar casa,أضف المنزل,होम जोड़ें,Ajouter une maison
flat No,Flat No,Piso no,شقة لا,नीरस नहीं,Appartement Non
enter Flat No,Enter Flat No,Entre plano no,أدخل لا,फ्लैट नंबर दर्ज करें,Entrez le numéro d'appartement
house No,House No,Casa no,رقم المنزل,मकान नंबर,Numéro de maison
enter House No,Enter House No,Ingrese la casa no,أدخل المنزل رقم,मकान नंबर दर्ज करें,Entrez le numéro de maison
enter Street No,Enter Street No,Entra la calle no,أدخل الشارع رقم,स्ट्रीट नंबर दर्ज करें,Entrez le numéro de rue
enter Area No,Enter Area,Ingrese el área,أدخل المنطقة,क्षेत्र दर्ज करें,Entrer la zone
enter City,Enter City,Entrar en la ciudad,أدخل المدينة,शहर दर्ज करें,Entrez la ville
enter Zip Code,Enter Zip Code,Ingresa tu código postal,أدخل الرمز البريدي,ज़िप कोड डालें,Entrez le code postal
enter State,Enter State,Ingrese el estado,إدخال الدولة,राज्य दर्ज करें,Entrez l'état
street,Street,Calle,شارع,गली,Rue
area,Area,Área,منطقة,क्षेत्र,Zone
digital Payment,Digital Payment,Pago digital,الدفع الرقمي,डिजिटल भुगतान,Paiement numérique
visa Card,Visacard,Tarjeta Visa,بطاقة فيزا,वीसाकार्ड,Carte Visa
master Card,Mastercard,Tarjeta MasterCard,بطاقة ماستر بطاقة ائتمان,मास्टर कार्ड,MasterCard
add Card,Add Card,Agregar tarjeta,إضافة بطاقة,कार्ड जोड़ें,Ajouter une carte
card Holder Name,Cardholder Name,Nombre del titular de la tarjeta,إسم صاحب البطاقة,कार्डधारक का नाम,Nom du titulaire de la carte
enter Card Holder Name,Enter Cardholder Name,Ingrese el nombre del titular de la tarjeta,أدخل اسم حامل البطاقة,कार्डधारक का नाम दर्ज करें,Entrez le nom du titulaire de la carte
card Number,Card Number,Número de tarjeta,رقم البطاقة,कार्ड संख्या,Numéro de carte
enter Card Number,Enter Card Number,Ingrese el número de tarjeta,أدخل رقم البطاقة,कार्ड नंबर दर्ज करें,Entrez le numéro de carte
cvc Or Cvv,CVS/CVV,CVS/CVV,CVS/CVV,सीवीएस/सीवीवी,CVS/CVV
mm Or Yyy,MM/YYY,Mm/yyy,مم/يي,एमएम/वाईवाईवाई,MM/AAAA
more Offer,More Offer,Más oferta,المزيد من العرض,अधिक ऑफर,Plus d'offre
oct,Oct,Oct,أكتوبر,अक्टूबर,Octobre
number,19,19,19,19,19
more Offer Dummy,To get more offer by using nanny with a...,Para obtener más oferta usando niñera con una ...,للحصول على مزيد من العرض باستخدام مربية مع ...,एक के साथ नानी का उपयोग करके अधिक प्रस्ताव प्राप्त करने के लिए...,Pour obtenir plus d'offre en faisant appel à une nounou avec un...
reject,Reject,Rechazar,يرفض,अस्वीकार करना,Rejeter
hold,Hold,Sostener,يمسك,पकड़ना,Prise
dummy Name,Protay Amin,Protagonista de Amin,بروتاي أمين,प्रोटे अमीन,Protay Amin
update Profile,Update Profile,Actualización del perfil,تحديث الملف,प्रोफ़ाइल अपडेट करें,Mettre à jour le profil
favorite Cap,FAVORITE,FAVORITO,مفضل,पसंदीदा,PRÉFÉRÉ
price High Low,Price High-Low,Precio alto-bajo,السعر مرتفع منخفض,कीमत ऊंची-नीची,Prix ​​haut-bas
price Low High,Price Low-High,Precio bajo,سعر منخفض,कीमत कम-ज्यादा,Prix ​​bas-élevé
pricing,Pricing,Fijación de precios,التسعير,मूल्य निर्धारण,Tarifs
service Quality,Service Quality,Calidad de servicio,جودة الخدمة,सेवा गुणवत्ता,Qualité des services
standard,Standard,Estándar,معيار,मानक,Standard
medium,Medium,Medio,واسطة,मध्यम,Moyen
basic,Basic,Básico,أساسي,बुनियादी,Basique
experience,Experience,Experiencia,خبرة,अनुभव,Expérience
service Review,Service Review,Revisión del servicio,مراجعة الخدمة,सेवा समीक्षा,Examen des services
service Review Demo,She is a very good and efficient nanny. Ginny has always looked after my baby. Properly cared for. He knows hot to perform his duty properly. I am very satisfied with her work,Ella es una niñera muy buena y eficiente. Ginny siempre ha cuidado a mi bebé. Bien cuidado. Él sabe que Hot para cumplir con su deber correctamente. Estoy muy satisfecho con su trabajo,إنها مربية جيدة وفعالة للغاية. لقد رعى جيني دائمًا طفلي. رعاية بشكل صحيح ل. إنه يعرف حارًا لأداء واجبه بشكل صحيح. أنا راضٍ جدًا عن عملها,वह बहुत अच्छी और कुशल नानी है। गिन्नी ने हमेशा मेरे बच्चे की देखभाल की है। ठीक से देखभाल की गई. वह अपना कर्तव्य ठीक से निभाना जानता है। मैं उसके काम से बहुत संतुष्ट हूं,C'est une nounou très bonne et efficace. Ginny a toujours pris soin de mon bébé. Correctement entretenu. Il sait comment accomplir correctement son devoir. je suis très satisfaite de son travail
